time,heartRate,distance,height
236.4155,165,1098.4453784644,-63.0550210984
236.7475,165,1098.4453784644,-63.0550210984
237.151,165,1098.4453784644,-63.0992156746
237.4615,165,1098.4453784644,-63.0992156746
237.822,165,1098.4453784644,-63.0992156746
238.513,164,1098.4453784644,-62.8788722848
238.614,164,1098.4453784644,-62.8788722848
238.8075,164,1098.4453784644,-62.8788722848
241.006,161,1279.0832575925,-62.1799299386
242.0805,158,1279.0832575925,-62.2222340135
242.441,158,1279.0832575925,-62.2222340135
242.771,158,1279.0832575925,-62.2222340135
245.5755,163,1315.8295636195,-62.2424388842
246.297,163,1315.8295636195,-62.1597249467
246.669,163,1315.8295636195,-62.1597249467
247.021,163,1315.8295636195,-62.1597249467
247.426,163,1315.8295636195,-61.8585396483
248.423,161,1315.8295636195,-61.8446482927
249.447,163,1315.8295636195,-61.8402283121
249.7885,163,1315.8295636195,-61.8402283121
250.471,159,1323.9500681555,-61.6507988096
253.1895,169,1323.9500681555,-61.2081517969
254.563,166,1323.9500681555,-60.4705755404
257.711,171,1344.2331218118,-59.4537967536
258.371,171,1345.9232922802,-59.3546397301
259.092,171,1345.9232922802,-59.3546397301
260.116,168,1348.2551406615,-59.1203222546
260.7735,168,1349.3640884606,-58.513977672
261.4675,169,1352.5887413331,-58.493765579
262.1855,169,1352.5887413331,-58.493765579
265.882,166,1352.5887413331,-57.6770379328
267.8995,166,1352.5887413331,-57.2222198781
268.251,166,1352.5887413331,-57.2222198781
269.615,164,1352.5887413331,-56.9392119692
270.341,164,1352.5887413331,-56.9392119692
270.641,164,1352.5887413331,-56.8425579558
270.981,164,1352.5887413331,-56.8425579558
271.312,164,1352.5887413331,-56.8425579558
271.6535,164,1352.5887413331,-56.7092623896
272.668,164,1352.5887413331,-56.6182919259
273.3405,164,1352.5887413331,-56.6182919259
273.6725,164,1352.5887413331,-56.6182919259
275.069,166,1352.5887413331,-56.4584599536
276.427,166,1352.5887413331,-56.4584599536
276.7695,166,1352.5887413331,-56.4584599536
277.111,166,1352.5887413331,-56.6726216038
277.441,166,1352.5887413331,-56.6726216038
277.772,166,1352.5887413331,-56.6726216038
279.488,167,1356.9031044875,-56.0579216446
280.472,167,1356.9031044875,-55.7793046975
280.593,167,1356.9031044875,-55.7793046975
281.213,167,1356.9031044875,-55.9025035851
282.6205,170,1356.9031044875,-55.8153168305
282.932,170,1356.9031044875,-55.8153168305
284.2985,173,1455.0126108005,-55.5746017901
284.651,173,1455.0126108005,-55.5746017901
286.3515,173,1455.0126108005,-55.0350261123
287.0355,173,1455.0126108005,-54.9724739649
287.386,173,1455.0126108005,-54.9724739649
288.781,173,1455.0126108005,-54.5800928478
289.0945,175,1471.4387279861,-54.4827851016
290.512,175,1471.4387279861,-54.4265483928
292.488,175,1471.4387279861,-53.8458392546
292.8195,175,1471.4387279861,-53.8458392546
293.161,175,1471.4387279861,-53.6562645277
293.481,175,1471.4387279861,-53.6562645277
294.503,175,1471.4387279861,-53.5854890798
294.845,175,1471.4387279861,-53.5854890798
296.186,175,1489.8401534105,-53.112165927
296.876,175,1489.8401534105,-53.112165927
297.896,179,1489.8401534105,-53.0533939965
300.3045,182,1493.8677511723,-52.1799914436
301.714,181,1493.8677511723,-52.0908775202
304.4235,175,1499.5292320331,-51.8317476017
306.86,176,1499.5292320331,-51.3039874948
308.677,175,1499.5292320331,-50.7717760097
310.404,176,1505.689508112,-49.9203075736
311.088,176,1505.689508112,-49.9203075736
312.161,174,1505.689508112,-49.6130791799
313.83,176,1551.6625534045,-49.1598059507
314.5925,177,1552.9590436278,-49.0706662196
316.981,173,1558.2713046688,-48.8525551542
317.091,173,1558.2713046688,-48.8525551542
317.391,173,1561.6346918992,-48.8196800474
320.254,173,1565.588906502,-48.4719562266
323.386,175,1565.588906502,-48.4352864934
323.738,177,1565.588906502,-48.2190588934
324.1205,177,1565.588906502,-48.2190588934
324.452,179,1565.588906502,-48.3366569161
324.814,179,1565.588906502,-48.3366569161
326.237,178,1565.588906502,-48.1400272191
329.476,172,1565.588906502,-47.5956407772
329.837,177,1565.588906502,-47.4438903632
330.178,177,1565.588906502,-47.4438903632
331.591,177,1565.588906502,-47.7353756641
332.363,177,1565.588906502,-47.7353756641
333.07,173,1565.588906502,-48.2051493621
333.422,173,1565.588906502,-48.2051493621
334.176,172,1571.8732073079,-48.8462330263
334.478,172,1571.8732073079,-48.8462330263
334.891,169,1571.8732073079,-48.6376006562
335.211,169,1571.8732073079,-48.6376006562
335.962,167,1571.8732073079,-48.6072537819
337.686,167,1571.8732073079,-49.0826780008
338.461,167,1571.8732073079,-49.0826780008
338.771,167,1571.8732073079,-49.3317612939
339.481,167,1571.8732073079,-49.3317612939
339.892,167,1571.8732073079,-49.1414723094
340.194,167,1571.8732073079,-49.1414723094
341.941,163,1571.8732073079,-49.2748646192
343.003,163,1571.8732073079,-49.651641265
344.407,163,1571.8732073079,-49.756579988
344.75,163,1571.8732073079,-49.5378510952
346.1685,163,1571.8732073079,-49.6453196215
346.522,163,1571.8732073079,-49.6453196215
347.5695,162,1571.8732073079,-49.8539318351
347.9015,162,1571.8732073079,-49.8918608802
348.304,162,1571.8732073079,-49.8918608802
348.967,164,1571.8732073079,-49.5561840397
349.3,164,1571.8732073079,-49.5561840397
349.6425,164,1571.8732073079,-49.5561840397
349.993,160,1571.8732073079,-49.5542875297
350.675,160,1571.8732073079,-49.5542875297
352.084,160,1571.8732073079,-49.4392319437
352.446,160,1571.8732073079,-49.4392319437
352.807,160,1571.8732073079,-49.4512433005
355.218,160,1571.8732073079,-49.6314119922
359.4405,164,1571.8732073079,-49.1414723094
360.1255,164,1571.8732073079,-49.2002662865
360.8565,164,1571.8732073079,-49.1054371273
361.911,164,1571.8732073079,-49.2571633682
362.2615,164,1571.8732073079,-49.2571633682
362.993,164,1571.8732073079,-49.0972185596
363.3145,164,1571.8732073079,-49.0972185596
363.666,164,1571.8732073079,-49.0972185596
364.379,164,1571.8732073079,-49.1313571831
364.731,164,1571.8732073079,-49.1313571831
365.436,164,1571.8732073079,-49.1718176293
365.779,164,1571.8732073079,-49.1718176293
367.206,165,1571.8732073079,-48.9916409982
368.2225,165,1571.8732073079,-48.8727859377
370.336,168,1571.8732073079,-49.0403206054
370.677,168,1571.8732073079,-49.0403206054
371.362,170,1571.8732073079,-48.9252593495
372.0565,170,1571.8732073079,-48.9979630379
372.3975,170,1571.8732073079,-48.9979630379
373.0815,170,1571.8732073079,-48.7589872702
373.7855,170,1571.8732073079,-48.7589872702
375.7905,170,1571.8732073079,-49.0283087754
376.8655,170,1571.8732073079,-48.9334780527
377.156,170,1571.8732073079,-48.6072537819
377.506,170,1571.8732073079,-48.6072537819
378.19,170,1571.8732073079,-48.745078459
378.521,170,1571.8732073079,-48.745078459
380.768,172,1587.0514603616,-48.6622574265
381.412,176,1587.0514603616,-48.721054105
382.0645,179,1587.0514603616,-48.9454899919
383.359,179,1587.0514603616,-48.7855404036
384.996,179,1598.2155481028,-48.8544517918
386.29,180,1598.2155481028,-48.6963974738
386.936,180,1598.2155481028,-48.6963974738
387.586,180,1598.2155481028,-48.6805919102
389.171,180,1643.7169718175,-48.510522531
389.542,180,1643.7169718175,-48.510522531
390.1465,180,1643.7169718175,-48.5364440653
392.101,180,1643.7169718175,-49.0624476245
392.441,180,1643.7169718175,-49.0624476245
393.081,180,1643.7169718175,-49.0624476245
393.742,180,1643.7169718175,-48.5895513979
394.0645,180,1643.7169718175,-48.5895513979
394.386,180,1643.7169718175,-48.6982941398
395.036,180,1643.7169718175,-48.6982941398
396.334,180,1681.0343479636,-48.5952414532
396.947,180,1681.0343479636,-48.5952414532
397.951,180,1681.0343479636,-48.2456134015
400.187,182,1695.078401258,-48.7589872702
400.872,182,1695.078401258,-48.7589872702
401.1545,182,1695.078401258,-48.7589872702
401.477,182,1695.078401258,-48.2961932299
401.7995,182,1695.078401258,-48.2961932299
402.121,182,1695.078401258,-48.2961932299
402.443,182,1695.078401258,-48.5364440653
402.7655,182,1695.078401258,-48.5364440653
403.0865,182,1695.078401258,-48.5364440653
403.4075,182,1695.078401258,-48.2879740245
403.731,182,1695.078401258,-48.2879740245
404.0655,182,1695.078401258,-48.2879740245
405.045,178,1695.078401258,-48.3221152969
405.436,178,1700.0266415509,-48.0976659952
405.777,178,1700.0266415509,-48.0976659952
406.3695,178,1700.0266415509,-47.5475867184
406.712,178,1700.0266415509,-47.5475867184
407.324,175,1700.0266415509,-47.5981699321
407.7155,175,1700.0266415509,-47.5981699321
408.676,170,1700.0266415509,-47.7922807377
409.9305,166,1700.0266415509,-47.4483164482
410.901,166,1701.8057677264,-47.352839055
411.211,166,1701.8057677264,-47.352839055
411.8635,165,1701.8057677264,-47.5798335455
412.516,162,1701.8057677264,-47.2662131141
414.471,157,1701.8057677264,-46.9000999141
415.7845,157,1927.1789420806,-46.8956735964
417.381,157,1927.1789420806,-46.6509585398
418.351,158,1927.1789420806,-46.6572819986
419.2845,159,1927.1789420806,-46.5459885646
420.985,163,1952.5243350167,-46.4972973138
421.276,163,1952.5243350167,-46.4972973138
421.596,163,1952.5243350167,-46.215895372
422.2385,163,1952.5243350167,-46.215895372
423.204,170,1952.5243350167,-45.8902184775
424.491,163,1952.5243350167,-45.7264276133
425.154,163,1952.5243350167,-45.7264276133
425.762,159,1952.5243350167,-45.5904602701
426.3955,159,1952.5243350167,-45.5904602701
427.4195,165,1961.2467506512,-45.4608153384
428.0635,166,1961.2467506512,-45.5461914502
429.661,166,1961.2467506512,-44.9308353942
429.941,166,1961.2467506512,-44.9308353942
431.532,165,1963.6107618066,-44.5380763182
432.176,165,1963.6107618066,-44.5380763182
433.456,164,1963.6107618066,-44.194004683
435.0605,162,1963.6107618066,-43.5279661196
435.733,162,1964.4374276802,-43.4191694541
436.726,162,1964.4374276802,-43.5241709062
437.3635,162,1964.4374276802,-43.5241709062
438.891,168,1964.4374276802,-43.4798933143
439.583,168,1964.4374276802,-43.4798933143
439.8645,172,1964.4374276802,-43.4855861581
440.496,172,1964.4374276802,-43.4855861581
440.826,168,1964.5401561301,-43.4330853699
442.141,169,1964.5401561301,-43.2407910697
443.815,170,1964.5401561301,-42.8359493734
444.811,166,1964.5401561301,-42.6398485266
445.133,166,1964.5401561301,-42.6398485266
445.454,166,1964.5401561301,-42.6398485266
446.487,166,1964.5452698905,-42.2324530441
447.491,166,1964.5452698905,-42.4146442954
447.831,166,1964.5452698905,-42.2103115292
448.846,168,1964.5452698905,-42.3077338428
450.551,171,1964.5452698905,-42.408950867
450.881,171,1964.5503836508,-42.6335226314
451.232,171,1964.5503836508,-42.6335226314
452.2055,168,1964.5503836508,-42.5607745613
452.336,168,1964.5503836508,-42.5607745613
453.678,168,1964.5503836508,-42.8138091399
453.968,168,1964.5503836508,-42.5101669088
454.3495,168,1964.5503836508,-42.5101669088
454.682,168,1964.5503836508,-42.5101669088
455.033,168,1964.5503836508,-42.3298751508
457.836,166,2030.9311628231,-42.3969313968
458.186,166,2030.9311628231,-42.3969313968
458.891,166,2030.9311628231,-42.3260795014
459.9345,163,2030.9311628231,-42.6436440619
460.2775,163,2030.9311628231,-42.6436440619
463.1105,171,2042.5547959657,-43.6924240408
464.503,171,2042.5547959657,-43.4798933143
464.8645,171,2042.5547959657,-43.8619394913
465.156,171,2042.5547959657,-43.8619394913
465.476,171,2042.5547959657,-43.8619394913
466.219,174,2046.9452875549,-43.9897067785
467.283,174,2046.9452875549,-44.5077175129
467.6755,174,2046.9452875549,-44.5077175129
469.377,174,2046.9452875549,-44.6133404752
469.739,174,2046.9452875549,-44.6133404752
470.0905,174,2046.9452875549,-44.6234599843
470.4215,174,2046.9452875549,-44.6234599843
471.127,171,2048.3158521348,-44.8296428439
471.839,171,2048.3158521348,-44.8296428439
472.1915,171,2048.3158521348,-45.48927412
473.616,169,2048.3158521348,-45.3033420098
474.636,168,2048.3158521348,-45.5379700773
475.701,162,2048.3158521348,-45.6208159237
